EnrolledElectiveBefore,GradeAvgPrevElec,Grade,Major,Class,GradePerm,Course1,Course2,Course3
0,0,58.36,3,2,59.36,0,71.63,0
1,60.29,57.21,1,1,80.53,0,67.11,0
1,87.74,59.55,3,3,77.49,67.24,0,68.14
0,0,77.9,1,2,65.74,90.8,0,0
1,52.51,81.02,3,3,66.69,0,66.88,58.22
1,60.32,63.03,1,4,67.78,57.83,57.83,0
1,46.21,72.07,3,1,60.88,0,68.14,0
1,62.89,77.59,2,2,87.39,79.38,0,65.67
1,54.52,71.01,3,2,61.44,58.62,0,60.46
1,33.13,60.45,3,3,65.46,43.4,0,41.58
1,59.12,55.3,3,4,75.69,51.27,0,59.15
0,0,80.1,1,1,74.78,94.78,0,0
0,0,74.96,2,2,60.16,83.42,0,0
1,58.99,75.77,1,2,71.07,65.38,0,66.87
0,0,58.92,2,2,73.75,0,67.98,0
0,0,72.35,3,3,83.1,0,0,85.26
0,0,76.29,1,4,54.08,83.4,0,0
0,0,73.14,1,1,89.01,0,0,85.33
0,0,62.55,3,2,65.16,75.02,0,0
1,62.23,80.12,1,1,75.05,0,78.5,0
0,0,54.72,2,2,66.58,0,62.24,0
1,66.34,79.29,1,1,81.76,82.52,0,0
1,39.6,80.81,3,1,66.72,0,61,0
0,0,85.72,3,4,79.4,0,96.4,0
0,0,66.58,1,1,64.06,0,76.48,0
1,59.25,60.01,2,4,54.38,64.09,0,57.52
1,46.54,77.94,3,1,73.64,0,53.31,0
1,79.69,63.01,2,2,65.23,67.47,70.09,0
1,47.12,70.44,1,1,76.47,51.71,0,0
0,0,66.83,3,4,73.69,77.91,0,0
1,61.12,60.98,1,2,77.29,55.2,0,56.59
0,0,73.21,2,2,85.77,81.03,0,0
1,53.63,56.08,2,1,85.76,0,44.91,0
0,0,75.92,2,3,64.84,86.86,0,0
1,81.17,60.33,3,4,92.9,70.25,80.17,0
1,71.79,52.68,3,4,88.27,0,58.43,68.1
0,0,69.5,3,4,73.3,0,81.73,0
1,54.13,74.32,2,3,79.29,64.95,55.92,0
1,74.11,75.77,3,3,88.37,69.9,77.87,0
0,0,78.18,2,1,60.65,0,0,88.88
0,0,46.46,3,2,80.06,56.25,0,0
1,59.61,59.95,1,1,73.43,63.32,0,0
0,0,71.07,1,1,73.77,0,0,79.71
1,58.31,85.19,2,4,78.39,69.81,70.49,0
1,52.01,77.84,2,3,66.19,60.22,0,64.96
1,69.68,89.01,1,3,81.61,0,74.9,80.77
1,75.18,64.75,2,4,60.58,0,67.94,78.58
1,50.13,72.74,2,2,61.34,0,60.18,64.22
0,0,59,3,1,57.97,67.97,0,0
1,86.04,65.96,3,4,79.03,66.92,0,66.67
0,0,62.65,3,4,75.92,70.81,0,0
1,85.23,63.66,2,3,53.35,0,67.17,75.25
1,47.21,66.07,3,1,72.35,0,55.31,0
1,60.34,70.03,3,1,66.67,66.13,0,0
1,59.83,70.22,3,4,87.45,0,59.39,71.97
0,0,75.43,2,2,65.56,0,83.86,0
1,47.43,71.4,3,2,67.76,58.25,0,57.65
0,0,66.56,3,2,72.45,0,79,0
0,0,64.77,2,3,79.73,0,0,71.93
1,64.9,66.93,2,4,79.7,56.98,0,58.27
1,64.95,65.51,3,4,67.57,55.28,0,74.49
0,0,74.91,2,2,71.33,0,87.58,0
1,80.56,78.66,3,4,74.28,82.81,71.97,0
0,0,82.74,1,3,68.26,96.21,0,0
1,64.87,62.02,1,2,57.54,72.55,0,72.29
0,0,74.69,2,1,70.25,0,0,85.74
0,0,56.05,1,2,81.42,0,0,67.01
0,0,73.73,3,2,65.35,79.6,0,0
0,0,80.83,2,1,64.14,92.11,0,0
0,0,68.5,2,2,57.27,79.85,0,0
1,47.28,80.73,2,2,65.96,0,55.5,69.1
1,55.11,58.61,3,4,61.28,53.21,55.77,0
0,0,61.11,2,3,57.44,0,0,69.75
0,0,68.64,3,2,67.25,77.65,0,0
0,0,80.22,1,4,64.46,91.08,0,0
1,54.45,65.83,2,3,68.91,54.48,62.32,0
1,74.59,65.46,1,4,39.93,70.99,72.15,0
0,0,60.08,3,2,61.14,67.7,0,0
1,66.1,72.03,1,2,82.1,0,63.85,72.47
0,0,82.47,2,4,64.24,0,0,93.08
0,0,77.01,1,3,72.83,0,89.99,0
1,51.91,76.97,2,3,60.94,55.02,0,67.29
0,0,67.93,1,4,68.99,0,80.72,0
1,60.49,64.37,1,3,72.44,63.19,54.61,0
1,21.26,76.77,1,2,72.96,44.16,0,48.52
1,42.69,69.68,1,3,80.52,0,50.71,59.4
1,54.78,68.26,2,2,63.5,71.08,0,52.7
1,39.7,78.98,1,3,48.83,56.61,55.33,0
1,44.51,68.02,1,4,74.96,49.03,50.79,0
0,0,61.62,1,1,69.87,0,0,70.31
1,35.36,79.09,2,3,75.64,63.54,0,55.43
1,53.91,70.81,1,2,59.78,72.11,0,58.35
0,0,59.63,1,4,76.49,0,0,72.17
0,0,58.87,2,2,58.68,66.26,0,0
1,77.31,70.95,1,2,77.65,81.84,0,67.5
0,0,93.37,3,1,67.64,0,0,100
0,0,66.07,1,4,62.59,0,0,79.49
1,61.49,66.64,3,1,76.61,56.15,0,0
1,63.41,85.24,1,4,85.61,66.72,0,70.07
0,0,69.43,1,3,69.74,0,77.99,0
1,58.28,55.52,2,4,77.29,0,63.93,58.7
0,0,54.27,3,4,64.29,0,0,62.71
0,0,82.27,1,1,73.13,0,0,91.46
1,72.98,76.66,1,1,59.91,66.29,0,0
0,0,78.26,1,1,79.39,0,0,89.55
0,0,69.42,1,2,74.75,0,0,77.92
0,0,62.73,1,3,73.62,73.28,0,0
1,46.83,67.83,3,1,65.95,62.43,0,0
1,70.49,71.36,2,4,58.75,80.36,79.53,0
0,0,61.62,2,2,66.5,68.92,0,0
1,56.66,75.61,3,1,71.4,65.03,0,0
0,0,57.4,2,3,68.86,65.71,0,0
0,0,66.67,2,3,69.43,0,0,78.63
0,0,67.96,3,2,81.16,77.09,0,0
0,0,63.09,2,3,64.28,0,72.49,0
0,0,47.94,1,2,64.68,55.65,0,0
1,60.9,74.48,2,1,100,67.88,0,0
0,0,62.44,2,4,69.17,0,73.46,0
1,48.57,83.26,1,2,69.13,67.26,0,57.54
0,0,66.58,3,3,67.86,0,0,77.82
1,74.05,64.59,1,1,53.98,0,69.15,0
1,52.12,70.92,3,3,77.59,0,67.93,65.24
1,64.07,80.53,1,1,80.07,72.8,0,0
1,47.98,64.37,3,2,63.3,0,50.36,62.33
1,50.29,80.15,1,2,59,64.52,0,55.99
0,0,84.4,1,1,80.29,95.77,0,0
1,73.96,79.9,1,2,80.12,85.72,71.35,0
1,57.37,86.26,3,4,78.22,0,65.95,68.87
1,38.67,82.93,3,4,89.1,0,54.42,60.25
1,89.97,85.15,3,4,85.11,91.5,85.45,0
0,0,86.04,2,3,67.96,95.86,0,0
1,36.88,72.08,2,1,58.91,53.35,0,0
1,98.92,65.71,1,3,57.87,89.7,0,86.04
0,0,47.38,1,1,85.7,0,0,55.44
0,0,56.77,1,4,61.65,0,66.34,0
1,49.75,65.52,1,3,68.64,66.11,59.95,0
0,0,66.18,1,2,91.11,0,0,74.54
0,0,68.47,2,3,76.06,76.16,0,0
0,0,59.99,1,4,78.78,0,72.01,0
0,0,54.04,2,4,70.53,67.12,0,0
1,52.18,68.7,2,4,79.16,57.52,0,68.14
1,42.23,68.11,1,2,72.04,45.76,62.66,0
0,0,61.92,3,4,68.37,71.89,0,0
0,0,62.58,2,4,86.22,74.46,0,0
1,47.74,60.6,2,3,72.23,61.07,52.83,0
0,0,66.03,3,1,73.91,0,74.79,0
1,75.46,61.44,2,3,81.82,64.53,62.66,0
1,29.29,82.6,3,3,67.16,58.52,53.46,0
1,41.6,72.41,1,1,58.18,0,55.92,0
1,74.51,60.28,1,2,75.37,66.31,0,72.43
0,0,67.2,1,3,67.49,0,78.39,0
0,0,58.2,2,3,65.87,69.26,0,0
0,0,80.12,3,1,69.19,0,0,86.66
1,57.71,83.84,3,1,62.18,0,72.1,0
0,0,82.52,2,4,76.54,0,0,93.9
1,79.14,58.55,3,3,85.41,62.2,0,67.15
1,79.88,69.09,2,4,85.72,82.55,73.2,0
1,63.08,65.98,2,1,62.91,0,57.05,0
0,0,75.62,2,2,62.15,84.33,0,0
1,95.09,59.92,1,2,86.13,73.24,0,84.2
0,0,63.24,3,4,64.39,74.36,0,0
0,0,65.87,3,3,67.51,0,74.52,0
1,65.47,71.53,2,1,76.82,0,73.85,0
0,0,76.94,1,3,84.35,91.74,0,0
1,83.89,66.71,2,2,73.1,0,67.93,77.79
1,56.12,76.64,2,4,41.07,60.92,0,71.74
0,0,78.22,2,2,63.57,88.38,0,0
0,0,67.87,3,2,58.21,0,81.96,0
1,55.32,57.54,3,2,65.78,62.37,0,51.82
0,0,58.29,1,2,74.17,0,0,67.83
1,44.9,75.92,2,4,73.63,0,54.4,68.75
0,0,65.24,2,3,58.29,0,70.61,0
1,48.12,52.87,3,2,71.55,44.25,45.91,0
0,0,76.13,2,4,68.44,0,0,86.64
1,65.49,71.3,1,3,79.76,0,74.7,59.1
0,0,55.94,1,2,59.67,66.47,0,0
1,67.22,81.79,1,1,73.22,66.31,0,0
0,0,78.37,2,2,48.36,0,0,87.5
0,0,71.39,3,1,47.68,0,80.88,0
0,0,57.26,3,3,63.32,0,0,69.09
1,64.13,55.98,2,1,79.14,0,63.59,0
0,0,66.93,2,2,56.05,75.54,0,0
1,67.61,52.86,3,1,65.5,58.56,0,0
0,0,74.05,1,2,63.99,0,83.58,0
1,45.79,55.89,1,4,77.84,48.03,53.64,0
0,0,71.65,1,2,59.02,78.82,0,0
0,0,67.12,1,3,65.31,77.04,0,0
0,0,77.12,2,4,54.06,0,0,90.15
0,0,60.62,1,2,83.51,0,0,71.29
0,0,72.74,3,4,81.78,0,79,0
1,72.95,56.05,3,2,72.89,73.4,70.44,0
0,0,77.96,3,4,69,0,91.7,0
0,0,68.85,3,1,68.35,0,0,75.27
1,40.81,74.96,1,4,68.26,67.73,61.7,0
0,0,56.79,3,2,72.27,68.79,0,0
0,0,74.99,1,1,77.36,83.67,0,0
0,0,73.06,1,3,48.36,0,0,84
1,72.45,73.64,2,3,61.47,66.13,0,68.1
0,0,73.13,3,3,61.83,0,0,82.57
0,0,68.07,1,4,46.18,0,74.89,0
1,60.18,82.41,1,2,69.21,0,74.69,66.23
0,0,68.44,3,1,54.14,0,81.15,0
1,70.36,62.61,3,2,81.97,64.86,0,67.8
0,0,69.41,3,1,83.25,0,0,78.78
0,0,60.49,3,2,78.01,73.57,0,0
1,74.53,65.36,2,4,52.81,67.52,0,73.56
1,63.38,68.23,1,4,52.94,69.84,0,65.67
0,0,66.2,1,3,64.65,78.49,0,0
0,0,71.99,3,4,87.77,79.68,0,0
0,0,89.46,1,3,96.31,0,0,100
1,53.91,75.71,1,3,88.01,0,70.04,64.59
1,47.04,80.72,2,4,76.94,64.89,0,63.07
0,0,64.96,2,1,69.73,0,0,73.37
0,0,64.13,1,1,44.61,0,73.26,0
0,0,66.22,2,3,82.05,0,76.45,0
0,0,78.53,3,4,70.02,88.5,0,0
0,0,48.52,2,2,71.44,0,0,58.32
1,75.97,59.67,2,3,48.52,0,67.9,72.11
0,0,71.02,3,4,71.09,0,77.77,0
1,66.5,67.76,3,3,59,59.7,0,59.42
0,0,89.68,2,4,66.66,0,0,98.19
0,0,74.48,2,1,72.06,81.53,0,0
0,0,63.38,2,4,62.9,71.26,0,0
1,55.45,54.22,2,2,61.97,64.15,62.91,0
1,66.62,66.59,3,3,52.92,61.75,69.02,0
1,62.68,56.97,1,2,83.69,0,67.58,59.55
0,0,74.67,1,4,71.24,0,0,85.08
0,0,71.61,3,2,61.55,0,0,86.1
1,64.34,73.2,2,4,96.01,73.76,68.67,0
1,66.19,90.79,2,2,68.24,0,83.7,80.14
1,57.02,60.93,1,3,72.05,0,64.8,56.62
1,61.41,68.08,1,4,84.23,59.29,60.1,0
0,0,57.87,2,2,74.99,68.67,0,0
0,0,69.19,3,1,71.59,80.12,0,0
0,0,85.93,3,4,71.95,0,97.45,0
1,73.39,75.69,3,2,46.87,0,64.57,80.02
1,53.67,68.86,2,4,66.44,0,57.36,61.11
0,0,72.52,2,1,71.87,0,0,82.38
1,63.42,57.89,2,4,68.34,58.23,69.62,0
0,0,66.06,2,1,67.26,0,0,76.66
0,0,70.85,1,1,65.36,0,0,79.58
1,32.73,70.99,3,4,60.8,46.46,0,53.19
0,0,54.69,1,4,74.96,0,64.74,0
1,63.59,73.28,2,1,62.9,0,77.45,0
1,45,72.79,1,2,52.86,62.52,51.75,0
1,85.11,66.23,1,1,67.42,0,68.62,0
1,62.42,70.04,1,2,64.13,59.86,0,61.33
0,0,55.17,3,3,96.57,0,0,62.04
0,0,55.2,2,3,59.77,0,67.65,0
0,0,71.35,2,2,68.49,0,0,81.04
1,63.36,63.32,3,2,75.57,0,60.92,70.49
1,34.82,69.88,3,4,79.45,0,50.36,54.09
1,63.22,78.39,3,1,62.19,68.76,0,0
0,0,68.26,3,3,58.18,0,82.1,0
1,75.23,41.89,2,3,60.01,0,61.8,65.95
1,70.52,68.49,3,4,77.18,74.91,77.64,0
1,53.74,65.19,2,2,84.47,0,50.81,67.97
1,43.54,67.65,3,1,55.44,47.33,0,0
0,0,79,2,1,51.87,89.02,0,0
0,0,54.21,1,1,68.4,66.98,0,0
1,44.32,72.44,1,2,66.72,52.12,49.36,0
1,43.73,85.7,3,1,80.58,0,72.84,0
0,0,63.74,3,4,65.62,0,74.32,0
0,0,74.72,2,2,60.18,0,85.92,0
0,0,79.66,2,4,80.81,0,87.48,0
1,62.07,72.1,1,3,52.62,63.02,0,59.71
1,56.9,63.15,2,2,74.51,55.3,54.76,0
0,0,62.9,3,4,67.85,0,71.98,0
1,71.31,77.44,2,2,66.05,0,71.89,78.75
1,75.98,75.92,1,3,67.98,70.64,74.35,0
1,74.78,62.14,1,3,63.42,0,63.72,67.03
1,71.5,58.24,1,2,71.56,0,72.95,68.87
1,66.04,57.19,2,3,62.11,64.21,61.72,0
0,0,86.62,1,1,83.64,99.99,0,0
0,0,69.32,3,2,72.4,78.85,0,0
0,0,93.6,3,2,69.09,0,0,100
1,69.12,75.56,1,2,66.83,78.75,62.74,0
0,0,74.4,2,3,58.96,82.22,0,0
1,81.5,73.06,3,1,85.66,68.32,0,0
0,0,79.99,1,1,78.17,0,0,88.87
1,66.53,60.34,2,4,78.78,54.02,0,66.55
1,51.01,91.6,1,1,67.04,75.15,0,0
0,0,69,1,3,67.98,0,0,75.84
0,0,62.97,2,3,76.3,0,70.21,0
0,0,73.03,2,2,61.95,0,0,84.66
1,46.6,80.92,2,1,66.11,72.37,0,0
0,0,59.92,2,2,76.79,0,72.71,0
0,0,75.67,3,3,79.38,85.05,0,0
1,100,62.84,1,3,66.15,74.17,86.01,0
1,62.84,64.94,2,2,65.4,57.02,62.07,0
1,39.77,65.11,2,3,75.22,60.91,0,60.65
1,78.97,77.64,1,3,79.47,76.54,75.99,0
0,0,58.91,1,3,71.09,0,68.32,0
1,50.09,71.93,2,1,73.32,60.48,0,0
0,0,66.57,3,2,57.43,0,79.7,0
0,0,61.53,2,2,64.8,71.67,0,0
0,0,57.86,3,3,66.2,0,0,68.87
0,0,57.97,3,4,77.01,0,67.13,0
1,61.48,53.66,2,3,73.17,0,47.86,54.9
1,65.72,78.96,2,4,85.18,79.04,0,69.57
1,61.01,67.58,3,1,67.08,54.86,0,0
0,0,71.59,2,4,62.1,82.41,0,0
1,64.26,81.78,1,4,53.19,69.41,80.73,0
0,0,57.8,2,3,86.35,0,0,68.73
0,0,60.58,2,1,72.08,0,70.03,0
1,38.55,72.55,2,1,69.47,0,55.34,0
1,59.08,51.76,2,2,74.3,0,61.2,58.15
1,38.51,64.21,1,2,60.75,52.73,0,47.96
1,61.31,60.75,3,3,74.89,51.4,62.87,0
1,74.08,73.3,1,2,86.3,67.17,0,72.47
1,69.11,65.74,1,2,66.13,62,63.42,0
0,0,90.08,2,4,71.77,0,99.41,0
0,0,79.38,2,1,81.36,91.91,0,0
1,64.92,61.47,2,1,67.82,57.22,0,0
1,53.98,66.13,1,3,77.58,0,54.36,57.2
1,55.25,66.52,2,1,71.31,56.87,0,0
1,68.95,100,2,2,74.18,0,82.81,76.84
1,45.19,54.9,1,2,82.58,58.79,46.91,0
1,53.98,72.04,3,2,73.06,0,71.31,57.88
1,48,49.16,1,1,81.77,0,51.25,0
1,44.35,69.93,2,3,70.02,62.03,58.28,0
1,47.14,89.1,3,2,55.37,63.42,0,64.25
1,70.16,65.92,2,4,67.12,77.12,0,67.85
0,0,81.05,1,2,42.84,0,0,90.58
0,0,69.34,3,2,61.1,0,78.06,0
0,0,65.78,2,1,66.56,77.55,0,0
0,0,67.48,1,2,74.06,81.39,0,0
1,49,64.13,2,2,70.73,66.42,66.1,0
1,92.24,63.74,2,1,71.31,72.92,0,0
1,58.65,56.7,1,3,64.11,53.18,0,63.78
0,0,85.07,3,2,71.29,0,94.26,0
1,59.02,66.07,3,2,98.81,55.28,0,53.71
1,65.22,72.94,3,2,78.63,0,73.77,62.98
1,69.95,61.23,1,4,80.48,56.03,71.44,0
1,43.43,81.17,1,3,70.44,61.21,0,54.59
1,59.54,67.26,1,2,55,62.8,0,64.09
1,83.68,69.09,2,3,60.98,75.35,0,79.43
1,48.07,51.71,1,3,83.05,58.65,0,55.71
0,0,73.96,3,1,84.31,0,81.95,0
0,0,88.12,2,4,65.65,0,0,100
0,0,61.31,2,3,65.56,0,72.34,0
0,0,65.42,3,2,87.74,0,75.76,0
1,79.01,58.62,3,1,68.34,63.66,0,0
1,67.49,71.29,3,1,83.96,62.03,0,0
0,0,70.64,2,3,74.57,80.12,0,0
1,78.89,77.05,3,1,90.9,0,68.14,0
0,0,75.51,3,2,68.44,0,84.98,0
0,0,61.87,1,2,58.26,67.58,0,0
1,97.9,72.25,2,3,66.18,81,81.33,0
0,0,66.72,2,3,70.23,75.96,0,0
1,57.48,59.09,3,4,70.27,65.08,66.22,0
0,0,68.73,3,4,78.53,78.88,0,0
1,79.87,100,1,2,75.77,81.46,96.99,0
0,0,93.15,2,1,47.94,0,100,0
0,0,71.4,2,2,77.69,84.71,0,0
0,0,87.39,1,4,58.87,97.67,0,0
0,0,69.55,3,3,71.43,0,80.2,0
1,50.97,69.47,2,2,72.82,63.62,69.54,0
1,73.82,50.5,1,3,68.73,52.22,0,61.35
1,66.91,60.4,3,1,68.18,57.51,0,0
0,0,62.17,2,2,68.55,72.1,0,0
1,58.01,71.08,1,3,64.96,65.4,0,61.74
0,0,70.14,1,1,72.67,0,79.33,0
1,30.02,64.21,3,4,73.22,0,48.73,41.27
