EnrolledElectiveBefore,GradeAvgPrevElec,Grade,Major,Class,GradePerm,Course1,Course2,Course3,Course4,Course5,Course6,Course7
0,0,58.36,3,2,59.36,0,0,0,0,0,68.83,0
1,60.29,57.21,1,1,80.53,0,53.25,0,0,0,0,0
1,87.74,59.55,3,3,77.49,73.76,0,0,0,0,0,82.64
0,0,77.9,1,2,65.74,0,0,0,0,88.23,0,0
1,52.51,81.02,3,3,66.69,0,0,0,0,0,62.75,68.7
1,60.32,63.03,1,4,67.78,0,0,0,0,56.87,67.02,0
1,46.21,72.07,3,1,60.88,0,57.14,0,0,0,0,0
1,62.89,77.59,2,2,87.39,0,75.03,0,0,70.79,0,0
1,54.52,71.01,3,2,61.44,0,57.98,0,0,70.09,0,0
1,33.13,60.45,3,3,65.46,53.41,0,0,0,0,0,48.07
1,59.12,55.3,3,4,75.69,50.63,0,0,0,0,0,62.73
0,0,80.1,1,1,74.78,0,0,0,0,90,0,0
0,0,74.96,2,2,60.16,0,0,0,0,81.36,0,0
1,58.99,75.77,1,2,71.07,0,0,0,0,61.84,0,61.53
0,0,58.92,2,2,73.75,0,0,0,0,0,0,71.03
0,0,72.35,3,3,83.1,0,0,0,0,0,79.19,0
0,0,76.29,1,4,54.08,0,0,0,0,0,0,87.77
0,0,73.14,1,1,89.01,0,0,0,0,80.46,0,0
0,0,62.55,3,2,65.16,0,0,0,0,0,0,71.19
1,62.23,80.12,1,1,75.05,0,69.91,0,0,0,0,0
0,0,54.72,2,2,66.58,0,0,0,0,0,68.69,0
1,66.34,79.29,1,1,81.76,74.47,0,0,0,0,0,0
1,39.6,80.81,3,1,66.72,0,59.6,0,0,0,0,0
0,0,85.72,3,4,79.4,0,0,0,0,0,94.34,0
0,0,66.58,1,1,64.06,0,0,0,0,0,76.5,0
1,59.25,60.01,2,4,54.38,0,0,0,0,50.7,0,51.99
1,46.54,77.94,3,1,73.64,0,59.81,0,0,0,0,0
1,79.69,63.01,2,2,65.23,0,0,0,0,69.03,80.46,0
1,47.12,70.44,1,1,76.47,67.62,0,0,0,0,0,0
0,0,66.83,3,4,73.69,0,0,0,0,79.06,0,0
1,61.12,60.98,1,2,77.29,0,0,0,0,66.15,0,59.96
0,0,73.21,2,2,85.77,0,0,0,0,82.28,0,0
1,53.63,56.08,2,1,85.76,0,54.18,0,0,0,0,0
0,0,75.92,2,3,64.84,0,0,0,0,83.04,0,0
1,81.17,60.33,3,4,92.9,78.46,0,0,0,0,61.33,0
1,71.79,52.68,3,4,88.27,0,0,0,0,0,60.81,68.04
0,0,69.5,3,4,73.3,0,0,0,0,0,79.04,0
1,54.13,74.32,2,3,79.29,0,58.75,0,0,0,55.41,0
1,74.11,75.77,3,3,88.37,70.93,0,0,0,0,0,84.33
0,0,78.18,2,1,60.65,0,0,0,0,0,0,88.55
0,0,46.46,3,2,80.06,0,0,0,0,59,0,0
1,59.61,59.95,1,1,73.43,60.79,0,0,0,0,0,0
0,0,71.07,1,1,73.77,0,0,0,0,0,0,79.76
1,58.31,85.19,2,4,78.39,0,67.5,0,0,0,0,73.55
1,52.01,77.84,2,3,66.19,0,0,0,0,67.59,0,56.5
1,69.68,89.01,1,3,81.61,74.96,0,0,81.03,0,0,0
1,75.18,64.75,2,4,60.58,0,0,0,0,0,78.48,64.37
1,50.13,72.74,2,2,61.34,0,0,0,67.61,55.84,0,0
0,0,59,3,1,57.97,0,0,0,0,0,0,69.06
1,86.04,65.96,3,4,79.03,0,0,0,0,0,67.97,85.34
0,0,62.65,3,4,75.92,0,0,0,0,70.77,0,0
1,85.23,63.66,2,3,53.35,0,0,0,0,0,82.97,80.85
1,47.21,66.07,3,1,72.35,53.1,0,0,0,0,0,0
1,60.34,70.03,3,1,66.67,0,69.14,0,0,0,0,0
1,59.83,70.22,3,4,87.45,71.02,0,0,0,0,0,71.44
0,0,75.43,2,2,65.56,0,0,0,0,85.39,0,0
1,47.43,71.4,3,2,67.76,0,0,0,50.19,0,0,68.21
0,0,66.56,3,2,72.45,0,0,0,0,0,74.05,0
0,0,64.77,2,3,79.73,0,0,0,0,73.89,0,0
1,64.9,66.93,2,4,79.7,0,0,0,0,0,69.72,73.3
1,64.95,65.51,3,4,67.57,61.03,0,0,0,0,59.9,0
0,0,74.91,2,2,71.33,0,0,0,0,0,0,83.56
1,80.56,78.66,3,4,74.28,73.33,0,0,0,0,0,77.36
0,0,82.74,1,3,68.26,0,0,0,0,0,91.28,0
1,64.87,62.02,1,2,57.54,0,0,0,0,54.04,0,55.37
0,0,74.69,2,1,70.25,0,0,0,0,87.5,0,0
0,0,56.05,1,2,81.42,0,0,0,0,0,0,63.16
0,0,73.73,3,2,65.35,0,0,0,0,0,0,82.14
0,0,80.83,2,1,64.14,0,0,0,0,0,0,90.24
0,0,68.5,2,2,57.27,0,0,0,0,0,0,81.37
1,47.28,80.73,2,2,65.96,0,0,0,0,57.36,64.84,0
1,55.11,58.61,3,4,61.28,0,0,0,0,0,47.59,60.75
0,0,61.11,2,3,57.44,0,0,0,0,69.76,0,0
0,0,68.64,3,2,67.25,0,0,0,0,78.28,0,0
0,0,80.22,1,4,64.46,0,0,0,0,0,90.86,0
1,54.45,65.83,2,3,68.91,0,0,0,0,50.35,0,68.3
1,74.59,65.46,1,4,39.93,0,0,0,0,0,73.42,75.96
0,0,60.08,3,2,61.14,0,0,0,0,69.62,0,0
1,66.1,72.03,1,2,82.1,0,0,67.73,62.82,0,0,0
0,0,82.47,2,4,64.24,0,0,0,0,0,90.87,0
0,0,77.01,1,3,72.83,0,0,0,0,88.68,0,0
1,51.91,76.97,2,3,60.94,0,0,0,0,0,73.72,69.93
0,0,67.93,1,4,68.99,0,0,0,0,0,74.86,0
1,60.49,64.37,1,3,72.44,0,0,0,0,0,69.46,56.39
1,21.26,76.77,1,2,72.96,48.64,0,0,0,54.72,0,0
1,42.69,69.68,1,3,80.52,0,0,0,0,58.17,61.37,0
1,54.78,68.26,2,2,63.5,0,0,0,0,60.28,0,70.42
1,39.7,78.98,1,3,48.83,65.28,0,0,0,0,59.73,0
1,44.51,68.02,1,4,74.96,0,0,0,0,0,61.69,50.61
0,0,61.62,1,1,69.87,0,0,0,0,71.81,0,0
1,35.36,79.09,2,3,75.64,0,50.56,57.01,0,0,0,0
1,53.91,70.81,1,2,59.78,0,65.22,0,0,0,0,65.28
0,0,59.63,1,4,76.49,0,0,0,0,0,69.77,0
0,0,58.87,2,2,58.68,0,0,0,0,0,64.7,0
1,77.31,70.95,1,2,77.65,69.28,0,0,0,0,0,67.21
0,0,93.37,3,1,67.64,0,0,0,0,0,0,100
0,0,66.07,1,4,62.59,0,0,0,0,0,0,74.15
1,61.49,66.64,3,1,76.61,66.88,0,0,0,0,0,0
1,63.41,85.24,1,4,85.61,70.72,0,0,0,67.34,0,0
0,0,69.43,1,3,69.74,0,0,0,0,79.4,0,0
1,58.28,55.52,2,4,77.29,0,0,0,0,51.85,0,60.81
0,0,54.27,3,4,64.29,0,0,0,0,0,0,64.19
0,0,82.27,1,1,73.13,0,0,0,0,0,0,94.15
1,72.98,76.66,1,1,59.91,74.07,0,0,0,0,0,0
0,0,78.26,1,1,79.39,0,0,0,0,87.86,0,0
0,0,69.42,1,2,74.75,0,0,0,0,78.28,0,0
0,0,62.73,1,3,73.62,0,0,0,0,0,0,71.28
1,46.83,67.83,3,1,65.95,0,63.37,0,0,0,0,0
1,70.49,71.36,2,4,58.75,71.81,0,70.77,0,0,0,0
