X1,X2,X3,X4,X5,X6,y1,y2,y3,y4,y5,y6,y7,y8,y9
0.5,0.0,0.3,0.3,0.7,0.9,-1.3202934119654968,0.4051607865639566,0.5927900880422871,0.9795169708026477,0.8648725944000474,-0.7264122588573495,-1.1617922475703302,-0.21678497315028852,-0.4299110253389903
0.3,0.5,0.2,0.4,0.7,0.6,0.13444549223512442,0.6842856380714802,0.16873547703038178,-0.04480318810720853,-0.06255785048868498,0.18508307595648155,0.2659437873760077,-0.4464216171444499,-0.805145810383515
0.8,0.8,1.0,0.1,0.6,0.7,0.7762476309122466,-0.08787144591682272,-1.7824270246760763,2.2723269868631797,2.0190477897781665,1.3490380002938565,1.1851218108820663,3.744071312619704,3.225226521695955
0.7,0.8,0.1,0.5,0.9,0.8,0.9272310698340205,-2.465937191285938,-0.4503145183647478,2.99709303853349,3.019123081650946,0.2822572665745213,-0.08911482921900785,2.2954372952617894,2.0163467851107795
0.9,0.4,0.3,0.0,0.3,0.5,1.3348854109416444,-1.5363136474415595,0.09540138177195895,0.7644977279648977,0.9311866151009301,-0.14195504242689985,-0.4670865880139592,1.6892204272414844,1.3102907904063514
0.0,0.2,0.3,0.8,0.1,0.3,0.3562644741934929,0.0627615142191797,0.05353298413623117,0.41539003162067223,0.3516796177707632,-0.22361016510371834,-0.3321525307432746,0.37485410877993885,-0.06849501178291513
0.3,0.3,0.7,0.0,0.1,0.9,0.3148405371226834,-0.23559070008909977,0.1944518408413641,0.6891567668739701,0.5340304218394699,-0.4686942366372092,-0.660586449349892,2.525224287857986,2.045075654589584
0.9,0.0,1.0,0.4,0.7,0.3,0.5904367712084072,0.04060532173359331,-0.7173073310222189,1.0868551179163406,1.0317892806915492,-0.9150271052761463,-0.9584531293065433,0.9388330277690105,0.6770327197588191
0.2,0.7,0.2,0.0,0.0,0.4,1.1159043074213728,-2.7270034231716425,1.8068400314587267,0.6130256317594315,0.3932051033365459,-1.2006173182461446,-1.222993707801281,2.2398356583351675,1.9376306839685578
0.5,0.5,0.6,0.8,0.4,0.1,0.5852565706442264,0.7875098200570847,-0.6851380554623736,0.4011532349367515,0.18463648312107564,1.5903771324883462,1.5429471738084466,0.5256825106514311,0.1935950750020223
0.4,0.9,1.0,1.0,0.8,0.1,0.5875575493183636,-0.27383600123297164,-0.6584019808589283,1.3231938587655643,1.0595563699691313,2.139611742293001,2.0939308619003802,1.3194331047708285,1.1138088641133677
