X1,X2,X3,X4,X5,X6,y1,y2,y3,y4,y5,y6,y7,y8,y9
0.8,0.8,0.6,0.2,0.8,0.7,2.4528795655426294,-0.44777807414736626,-2.5478051084383297,2.0248560022595004,1.7633628825328806,2.555935316664853,2.3787952040169875,1.5581609143698685,1.2333064321638523
0.2,0.1,0.5,1.0,0.4,0.4,-2.0924184709466527,0.3430097272552638,0.8623063903147968,1.9685488066424233,1.9913951776771526,-0.7215807552199729,-0.9390695990848229,2.660178724189133,2.2268815652122167
0.5,0.7,0.3,0.6,0.4,1.0,2.418927593933723,-1.4179534244316603,-0.8226303784667486,0.7180707914339023,0.5122806567579506,-0.11712185347185027,-0.4410570813462221,1.9430786552217676,1.6023313543128241
0.3,0.7,0.6,1.0,0.1,1.0,0.847649978545171,-1.602983193547902,0.17320538898315596,1.2088715048816951,1.068973656839279,2.5161573634464554,2.1749675239858237,4.302012320829978,4.179381306330863
0.3,0.5,0.8,0.4,0.6,0.3,0.3957816590751313,0.601657148251619,-2.239113478833419,2.0206861452593734,2.144219135524902,1.3835943123402596,1.3237697487752087,0.13680273775538265,-0.3438760583431715
0.9,0.2,0.0,0.4,0.2,0.4,-2.338338838056837,0.6761540865309176,1.5732776327433053,1.1536249615575835,1.1258472484165576,0.511844323396118,0.4268429939887398,0.7795570781460812,0.34741070909655325
1.0,0.1,0.7,0.8,0.2,1.0,-2.2075839634917434,-0.9718094575716998,1.2598504639987176,2.895345791992157,2.8442722619557093,2.6486171783574415,2.379775079455822,2.549430784780001,2.3417340831032005
0.9,0.8,0.7,0.1,0.6,0.8,2.04132560192738,-0.7163300081407004,-2.548555432930117,2.032230327834527,2.0722379266547457,2.064948701566091,1.61992138037993,0.20341308375206385,-0.12203058389739273
1.0,0.5,0.9,0.9,0.9,1.0,-0.8645702157608854,-2.458472416978025,-0.29809664237825106,4.401721352442483,4.389498347260089,2.895894120770837,2.784947013303695,2.3308668335653615,1.9850332772692356
0.3,0.0,0.0,1.0,0.2,0.8,0.5919126672784778,-1.173452832720628,0.11240805152593394,1.261409783458327,1.3997737588010324,0.5930150657839409,0.4077862512535444,3.0101880449909513,2.3589670806402356
1.0,0.8,0.2,0.9,0.6,0.5,-1.0774714322514753,-0.5096463027392771,-0.5847097791974383,3.4355842329863577,3.2297566938050473,1.4129353787116798,0.9642193784460036,0.40816366384293973,0.2421715755614276
0.6,0.6,0.6,0.3,0.8,0.2,0.06742432140941085,-0.7851216016998912,-0.10605677741926617,1.7078441005392413,1.5852408606898274,2.029778987160017,1.7645224813606775,2.2119783486720928,1.7902013600514486
0.1,0.4,0.8,0.1,0.6,0.9,3.086289993567462,-0.5453449604986237,-2.796362590603296,1.0946917088532362,1.227069093003235,2.532756168154003,2.153446510209038,0.3424218608671281,0.031667477824265475
0.5,0.1,0.2,0.4,1.0,0.7,2.5186156940952737,-1.0769374965185323,-2.090222421626886,1.5975801753891674,1.5470718483746981,-0.7541126244400284,-0.7241059941436214,1.715112474097104,1.2613366354428146
0.6,0.4,0.5,1.0,0.8,1.0,0.779336042617816,-2.8273044520076014,0.43769105929265395,2.6319063653052455,2.1935903610100778,2.1637818280098333,1.8722349967747722,3.3103770022317067,2.8615728045685875
0.3,0.0,0.0,0.5,0.7,0.5,1.2752098449623919,-0.2726525850159994,-0.7531317980148577,0.8441954585416817,0.9547204557688744,2.5553220486895167,2.5424566941417317,0.33071601410332724,-0.008910135392439733
0.0,0.8,0.6,1.0,0.5,0.1,-2.4422446190478464,-0.4649980491164098,1.9072097455385757,2.1035537515119755,2.06704961200913,0.7611310540124796,0.5810739499532879,2.346684548993656,2.0255029658118984
