X1,X2,X3,X4,X5,X6,y1,y2,y3,y4,y5
0.8,0.8,0.6,0.2,0.8,0.7,2.037095597523972,-1.2424367445951028,-1.2268438077368296,2.5971719589152995,2.220180000607706
0.2,0.1,0.5,1.0,0.4,0.4,-1.0089694807228566,2.014241996750613,1.7327373760773637,2.9179637168703363,2.7779284503080643
0.5,0.7,0.3,0.6,0.4,1.0,1.998403765765325,-1.0346564892601373,-0.9300801381851471,0.9979929560037233,0.8675153346292366
0.3,0.7,0.6,1.0,0.1,1.0,0.7163419096423712,0.3186391679977357,0.3134159995977,2.3168741357710485,2.236251193970383
0.3,0.5,0.8,0.4,0.6,0.3,1.1586877598566456,-0.18152951663193626,-0.25911660157226707,2.6102337413510637,2.4258109377425763
0.9,0.2,0.0,0.4,0.2,0.4,-1.32519784493155,2.198665143858928,2.0311074530571727,1.760163246568488,1.537091968439734
1.0,0.1,0.7,0.8,0.2,1.0,-0.5163737181147826,1.706851103016413,1.5808721531292205,3.8534737600349915,3.2660182936701516
0.9,0.8,0.7,0.1,0.6,0.8,2.069691260901453,-1.0872752248000708,-1.1082781627711182,2.5783137406705596,2.537964715253137
1.0,0.5,0.9,0.9,0.9,1.0,0.7667079734676836,0.4513902696050098,0.16639320612423406,5.505452391760543,5.369703722402729
0.3,0.0,0.0,1.0,0.2,0.8,0.5438803571002244,0.4411501333287046,0.2564055487867849,2.2732706663755637,1.9951195612932788
1.0,0.8,0.2,0.9,0.6,0.5,-0.07172152531583466,1.002799290208339,0.8852880161678309,4.325302136645423,4.151774527561854
0.6,0.6,0.6,0.3,0.8,0.2,0.259092275473519,0.6338365358898396,0.48115342914392467,2.364166523857182,2.247721352326798
0.1,0.4,0.8,0.1,0.6,0.9,2.6870360170222156,-1.686651264908363,-1.7035442073792606,1.1509769080276901,1.1840121030779034
0.5,0.1,0.2,0.4,1.0,0.7,2.1526013148377054,-1.185283176532303,-1.1164017216959328,2.4741330911945445,2.1724970731480755
0.6,0.4,0.5,1.0,0.8,1.0,0.8109414199622318,-0.06871371446928326,0.2401925786944252,3.682405490830937,3.4073390964734283
0.3,0.0,0.0,0.5,0.7,0.5,0.7671070349107776,-0.14192973483015162,0.02109013724020177,1.83009020240575,1.5065789963841252
0.0,0.8,0.6,1.0,0.5,0.1,-1.2934439298726532,2.386406314862639,2.258823353904434,3.2326369253868723,3.0967619944315175
1.0,0.7,0.4,0.3,0.6,0.1,0.19911889916601563,0.7801691821004852,0.7433452974343184,2.766107044047609,2.48005125032288
0.4,1.0,0.0,0.8,1.0,0.5,0.5055715715361943,0.5562628598347319,0.19344241677913243,4.103768602345714,3.9442846757380137
0.4,0.2,0.9,0.7,0.1,0.9,0.7301601414131128,0.2827556319292582,0.22657373525542127,1.6474123491609822,1.4479399787550593
0.2,0.1,0.0,0.7,0.1,0.8,0.6076189170933356,0.6008836755948856,0.4248990106943503,1.7758146288701542,1.4016280994601342
0.9,0.0,0.7,0.0,0.5,1.0,1.5526934125235272,-0.5283234323099679,-0.7391485728682484,2.1338718868332256,1.8547145888779382
0.2,0.5,1.0,0.1,0.3,0.3,0.34021004860019205,0.8552834408176007,0.7149132748173171,1.5011327652397701,1.3811123669123533
0.1,0.8,0.6,0.8,0.1,0.5,-0.6355735831598054,1.7262807202192663,1.5922320081565027,1.514340690194703,1.5620701521799094
0.7,0.0,0.9,1.0,0.1,0.5,-0.5367603759143429,1.3865428147596695,1.2152168266720065,3.1466148047019447,2.8165553519568016
0.9,0.2,0.0,1.0,0.0,0.4,-2.3661456383262705,3.3066884493573037,3.2339015097293133,3.2728589221119586,3.0871748647563284
0.6,0.3,0.1,0.8,0.5,0.9,1.1464190825578193,-0.019981167777204253,-0.0831792331822192,1.765916505877099,1.4691868454118904
0.5,0.4,0.2,0.7,0.8,0.7,1.8937089492178725,-0.7901264782011979,-0.9236367072751648,2.2561146802466068,2.1779266331980467
0.3,1.0,0.4,0.8,0.6,0.3,0.2851681203986507,0.71519440239204,0.48309610447178397,3.7940435546015134,3.646148047700044
0.8,0.8,0.5,0.1,0.3,0.3,-0.038181551119461025,0.9387154373263639,0.9466177625148116,1.4018245269635183,1.1867020158764312
0.3,0.2,0.6,0.5,0.5,0.2,-0.29912039062079027,1.1482423939330875,1.1495474119290763,1.5002712368119961,1.202087257985714
0.5,0.6,0.1,0.5,0.0,0.5,-0.10241756653590883,1.0809017795227016,0.9522440700210049,1.2680778716755625,1.2237686160429935
0.4,0.8,1.0,0.3,0.7,0.5,1.2432176228084353,-0.28260022581294786,-0.12237664828309539,2.375660610298367,2.3838692159266786
0.9,0.4,0.5,0.2,0.6,0.0,-0.06461615633540388,0.8812690514763499,0.828532202656474,2.3101123081085904,2.2531058211238855
0.5,0.7,0.1,0.6,0.7,0.0,0.6719450590002404,0.4361877633199085,0.0869721327879081,2.2527309951577794,2.2436357412960444
0.1,0.2,0.4,1.0,0.0,0.6,-0.40341394971945266,1.444050944154823,1.4003829515400787,2.201238074042567,2.0329917844954797
0.6,0.8,0.6,0.9,0.5,0.1,-0.6468033121417907,1.6594142750051744,1.5090301971934768,3.3583967701124995,3.0258691865244556
0.5,0.9,0.4,0.9,0.8,0.3,-0.10992451462313296,1.4376818289881894,0.9647775719332782,4.489589646766017,4.156337543415653
0.4,0.6,0.2,1.0,0.4,0.7,1.3309125661788526,-0.3919978227937162,-0.4704761099493166,3.12096369622287,2.8121123624463715
0.5,0.1,0.3,0.7,0.4,0.5,0.1636104154338344,0.7659972983174167,0.6268920177838908,1.9357739034464063,1.8208049591846132
0.1,0.2,0.3,1.0,0.6,1.0,1.3549226063370994,-0.3553223747427689,-0.4791201090389091,3.2608453248334186,2.9739315110540887
1.0,0.1,0.2,0.9,0.6,0.0,-0.797849146208357,1.5968399000235272,1.711708228086911,4.959434841352638,4.626292160055861
0.5,0.3,0.5,0.2,1.0,0.8,2.00405174279921,-0.8652767056037722,-0.9857465304971806,1.1928604091007964,0.9073086200145989
0.9,1.0,0.7,1.0,0.3,0.0,-0.8799039988118506,2.0063205324629148,1.8074073285049201,5.273372823783005,5.230431058676141
0.4,0.6,0.2,0.7,0.9,0.3,0.6965423225523081,0.13603596196159545,0.29674992443966053,3.0040518010172033,2.853639483986812
0.1,0.1,0.9,0.9,0.0,0.8,-0.08814277710423397,0.9760534757267056,0.953377635525466,2.6298025716679656,2.334979944389089
0.0,1.0,0.8,0.5,0.3,0.5,0.22498533357478356,0.7832484778297653,0.645490782158586,2.4430281908319724,2.1902237477336297
0.8,0.3,0.6,0.1,0.6,0.1,0.39583112874941695,0.5268598801044351,0.5257166996985548,1.5707297261011273,1.4185332087335725
0.2,0.1,0.2,0.6,0.6,0.1,0.6234015557301776,0.3201609296209254,0.3023550423840121,2.444067614999287,2.2104806567667232
