EnrolledElectiveBefore,GradeAvgPrevElec,Grade,Major,Class,GradePerm,Course1,Course2,Course3
0,0,66.73,1,2,78.73,0,75.25,0
1,37.92,69.92,2,2,74.14,0,47.95,48.39
1,84.72,64.77,1,4,54.2,84.5,65.58,0
0,0,80.43,2,2,83.67,0,91.11,0
1,68.51,74.14,1,4,59.06,0,68.15,75.25
1,56.66,64.93,1,3,74.18,0,57.45,69.26
1,54.7,71.55,1,1,73.82,67.69,0,0
1,35.75,80.42,2,2,86.18,58.75,59.01,0
1,55.62,69.61,1,3,70.41,0,56.76,55.69
1,48.58,60.51,1,4,90.35,48.36,0,48.68
1,72.87,71.32,3,2,56.37,79.66,64.48,0
0,0,50.19,3,4,71.41,62.05,0,0
0,0,77.69,1,1,71.35,0,0,88.93
1,72.79,65.79,2,4,54.09,73.49,64.25,0
0,0,65.31,3,1,61.14,0,72.21,0
0,0,78.76,2,1,53.62,86.99,0,0
0,0,56.35,1,1,65.51,0,0,67.46
0,0,89.47,3,3,65.08,0,100,0
0,0,65.2,2,1,41.68,0,76.97,0
1,65.33,64.77,2,2,70.22,0,64.42,72.03
0,0,80.21,3,4,62.38,92.24,0,0
1,60.88,77.09,1,1,66.02,0,77.98,0
1,57.22,94.51,1,3,71.71,0,82.38,74.54
0,0,67.89,3,1,68.53,0,0,78.59
0,0,68.8,2,2,65.7,75.91,0,0
1,72,55.21,3,3,67.92,55.39,69.8,0
1,55.36,66.68,3,4,60.76,0,54.87,55.68
1,56.5,62.79,3,3,78.09,56.73,65.34,0
1,85.99,65.51,1,2,70.55,81.49,65.91,0
0,0,52.56,1,1,78.18,0,63.64,0
1,65.56,86.61,2,1,64.64,82.15,0,0
0,0,55.83,3,1,73.39,65.96,0,0
1,82.8,41.98,3,1,56.08,0,71.87,0
0,0,58.12,3,4,70.38,69.27,0,0
1,73.94,63.96,3,1,79,72.78,0,0
1,68.73,58.5,1,1,67.99,55.22,0,0
0,0,80.98,1,4,87.15,91.39,0,0
1,61.86,68.62,2,1,62.32,61.1,0,0
1,58.05,70.25,2,3,51.43,58.15,0,63.93
0,0,76.1,3,1,75.48,86.34,0,0
0,0,72.86,2,1,61.78,0,81.77,0
1,18.9,79.79,3,1,89.37,55.12,0,0
0,0,58.91,1,2,60.62,0,0,69.95
1,64.05,64.52,1,4,67,71.65,72.88,0
1,53,76.66,1,4,60.55,61.89,62.11,0
1,38.75,44.65,2,1,56.35,0,50.94,0
1,73.03,56.25,3,3,60.42,65.82,72.9,0
1,64.15,75.01,2,4,73.71,0,78.55,71.64
0,0,65.2,3,4,89.89,73.21,0,0
1,64.72,79.36,2,1,67.18,70.43,0,0
0,0,78.09,1,3,75.67,89.95,0,0
1,60.08,58.02,2,2,80.01,55.7,61.41,0
1,72.01,74.07,1,2,69.4,65.81,75.52,0
1,61.17,82.02,3,3,75,0,75.85,77.37
