EnrolledElectiveBefore,GradeAvgPrevElec,Grade,Major,Class,GradePerm,Course1,Course2,Course3,Course4,Course5
0,0,64.67,1,2,76.12,0,0,0,74.01,0
1,57.43,80.91,2,2,67.86,67.64,0,0,77.11,0
1,71.58,66.54,2,2,84.05,0,0,59.93,75.08,0
0,0,62.05,1,4,72.39,0,0,0,74.16,0
1,92.45,71.98,3,2,52.24,0,0,89.24,76.93,0
1,80.05,80.82,3,3,63.04,83.11,0,0,0,76.68
1,54.46,55.55,3,3,72.71,50.16,0,0,58.4,0
1,56.41,57.89,1,3,84.89,0,0,0,60.14,57.16
1,76.49,62.11,3,1,69.25,64.97,0,0,0,0
1,69.83,80.95,2,4,79.67,0,0,72.74,0,69.84
1,69.6,72.35,1,4,61.43,0,62.06,0,0,74.22
0,0,91.32,3,3,51.82,0,0,0,100,0
0,0,79.36,2,4,58.43,0,0,0,0,89.44
1,48.93,69.65,2,1,84.01,61.6,0,0,0,0
0,0,82.65,1,2,75.56,0,0,92.69,0,0
0,0,72.11,3,3,91.5,0,0,0,80.49,0
0,0,62.95,2,4,86.74,0,0,0,71.29,0
0,0,76.8,3,3,77.01,0,0,86.72,0,0
0,0,63.04,2,3,85.79,0,0,0,0,73.44
1,53,67.1,2,3,91.34,0,0,56.51,56.96,0
0,0,83.28,1,3,91.32,0,0,0,91.43,0
1,53.85,68.99,3,2,80.12,0,0,60.41,0,54.52
1,59.74,61.97,2,3,53.21,0,0,53.77,63.51,0
0,0,65.36,3,4,69.45,0,0,0,77.32,0
0,0,80.22,3,4,75.25,0,0,90.13,0,0
1,59.37,64.47,3,1,65.78,0,68.82,0,0,0
1,45.66,66.13,1,1,70.23,63.33,0,0,0,0
1,54.81,64.9,2,4,63.32,0,0,68.14,0,59.83
1,53.05,71.84,3,3,61.01,64.27,0,0,0,67.94
0,0,66.15,1,4,80.95,0,0,76.62,0,0
1,36.89,53.98,3,1,80.55,36.97,0,0,0,0
