data,fold,depth,min_samples_leaf,min_samples_split,prediction_method,prediction_method_leaf,evaluation_method,mse,mse gap,nof_infeasibilities,training_duration,use_brute_force,use_hashmaps,use_initial_solution,RF_n_estimators
synthetic_manifold_df_size_2000_targets_5_seed_0,0,5,5,10,sklearn,sklearn,sklearn,0.510193057,0,400,0.011035919,,,,
synthetic_manifold_df_size_2000_targets_5_seed_0,0,5,5,10,mean,optimal,mse,0.51191891,0.003382746,0,1.080428123,TRUE,TRUE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_0,0,5,5,10,mean,optimal,mse,0.429748796,-0.157674158,0,15.30843472,TRUE,TRUE,FALSE,20
synthetic_manifold_df_size_2000_targets_5_seed_0,0,5,5,10,optimal,optimal,mse,0.500842102,-0.018328268,0,43.8043952,TRUE,TRUE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_0,0,5,5,10,optimal,optimal,mse,0.413593609,-0.189339009,0,532.0149968,TRUE,TRUE,FALSE,20
synthetic_manifold_df_size_2000_targets_5_seed_0,0,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.500842102,-0.018328268,0,369.9506044,FALSE,FALSE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_0,1,5,5,10,sklearn,sklearn,sklearn,0.487387584,0,400,0.004015684,,,,
synthetic_manifold_df_size_2000_targets_5_seed_0,1,5,5,10,mean,optimal,mse,0.50231195,0.030621147,0,0.681969643,TRUE,TRUE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_0,1,5,5,10,mean,optimal,mse,0.426239042,-0.125461838,0,10.69513154,TRUE,TRUE,FALSE,20
synthetic_manifold_df_size_2000_targets_5_seed_0,1,5,5,10,optimal,optimal,mse,0.483520237,-0.007934848,0,30.80722165,TRUE,TRUE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_0,1,5,5,10,optimal,optimal,mse,0.415880814,-0.146714385,0,380.7745416,TRUE,TRUE,FALSE,20
synthetic_manifold_df_size_2000_targets_5_seed_0,1,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.509166975,0.044685978,0,358.1208465,FALSE,FALSE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_0,2,5,5,10,sklearn,sklearn,sklearn,0.46975699,0,400,0,,,,
synthetic_manifold_df_size_2000_targets_5_seed_0,2,5,5,10,mean,optimal,mse,0.471387654,0.003471291,0,0.733345747,TRUE,TRUE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_0,2,5,5,10,mean,optimal,mse,0.418901275,-0.108259624,0,10.67681503,TRUE,TRUE,FALSE,20
synthetic_manifold_df_size_2000_targets_5_seed_0,2,5,5,10,optimal,optimal,mse,0.458313533,-0.024360378,0,30.06083727,TRUE,TRUE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_0,2,5,5,10,optimal,optimal,mse,0.406110238,-0.135488676,0,368.6246693,TRUE,TRUE,FALSE,20
synthetic_manifold_df_size_2000_targets_5_seed_0,2,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.498448558,0.061077468,0,371.0744951,FALSE,FALSE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_0,3,5,5,10,sklearn,sklearn,sklearn,0.460324882,0,400,0.015649557,,,,
synthetic_manifold_df_size_2000_targets_5_seed_0,3,5,5,10,mean,optimal,mse,0.472194168,0.025784585,0,0.742121458,TRUE,TRUE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_0,3,5,5,10,mean,optimal,mse,0.407873498,-0.113944274,0,10.66277337,TRUE,TRUE,FALSE,20
synthetic_manifold_df_size_2000_targets_5_seed_0,3,5,5,10,optimal,optimal,mse,0.469765421,0.020508426,0,30.19345403,TRUE,TRUE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_0,3,5,5,10,optimal,optimal,mse,0.408669203,-0.1122157,0,367.4486938,TRUE,TRUE,FALSE,20
synthetic_manifold_df_size_2000_targets_5_seed_0,3,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.469765421,0.020508426,0,366.5046251,FALSE,FALSE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_0,4,5,5,10,sklearn,sklearn,sklearn,0.448670691,0,400,0,,,,
synthetic_manifold_df_size_2000_targets_5_seed_0,4,5,5,10,mean,optimal,mse,0.479592033,0.068917678,0,0.747075319,TRUE,TRUE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_0,4,5,5,10,mean,optimal,mse,0.414742439,-0.075619496,0,10.79371119,TRUE,TRUE,FALSE,20
synthetic_manifold_df_size_2000_targets_5_seed_0,4,5,5,10,optimal,optimal,mse,0.478484893,0.066450077,0,30.36677694,TRUE,TRUE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_0,4,5,5,10,optimal,optimal,mse,0.411881632,-0.081995682,0,369.5801916,TRUE,TRUE,FALSE,20
synthetic_manifold_df_size_2000_targets_5_seed_0,4,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.483675101,0.078018045,0,359.667769,FALSE,FALSE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_1,0,5,5,10,sklearn,sklearn,sklearn,0.184989815,0,400,0,,,,
synthetic_manifold_df_size_2000_targets_5_seed_1,0,5,5,10,mean,optimal,mse,0.393856784,1.1290728,0,0.739170551,TRUE,TRUE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_1,0,5,5,10,mean,optimal,mse,0.436324991,1.358643313,0,10.90473294,TRUE,TRUE,FALSE,20
synthetic_manifold_df_size_2000_targets_5_seed_1,0,5,5,10,optimal,optimal,mse,0.395548257,1.138216403,0,31.47572637,TRUE,TRUE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_1,0,5,5,10,optimal,optimal,mse,0.430542132,1.327382896,0,377.3809745,TRUE,TRUE,FALSE,20
synthetic_manifold_df_size_2000_targets_5_seed_1,0,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.419031806,1.26516149,0,374.8229513,FALSE,FALSE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_1,1,5,5,10,sklearn,sklearn,sklearn,0.209022845,0,400,0,,,,
synthetic_manifold_df_size_2000_targets_5_seed_1,1,5,5,10,mean,optimal,mse,0.461181086,1.206366899,0,0.706439972,TRUE,TRUE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_1,1,5,5,10,mean,optimal,mse,0.495479601,1.370456692,0,10.67690921,TRUE,TRUE,FALSE,20
synthetic_manifold_df_size_2000_targets_5_seed_1,1,5,5,10,optimal,optimal,mse,0.460821688,1.204647483,0,31.61136246,TRUE,TRUE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_1,1,5,5,10,optimal,optimal,mse,0.491793133,1.352820015,0,387.8702512,TRUE,TRUE,FALSE,20
synthetic_manifold_df_size_2000_targets_5_seed_1,1,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.455461007,1.179001093,0,291.7068722,FALSE,FALSE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_1,2,5,5,10,sklearn,sklearn,sklearn,0.184085966,0,400,0,,,,
synthetic_manifold_df_size_2000_targets_5_seed_1,2,5,5,10,mean,optimal,mse,0.391882619,1.128802248,0,0.764762163,TRUE,TRUE,FALSE,
synthetic_manifold_df_size_2000_targets_5_seed_1,2,5,5,10,mean,optimal,mse,0.429568131,1.333519167,0,10.75394058,TRUE,TRUE,FALSE,20
synthetic_manifold_df_size_2000_targets_5_seed_1,2,5,5,10,optimal,optimal,mse,0.392170835,1.130367906,0,31.58902454,TRUE,TRUE,FALSE,
