data,fold,depth,min_samples_leaf,min_samples_split,prediction_method,prediction_method_leaf,evaluation_method,mse,mse gap,nof_infeasibilities,training_duration,use_brute_force,use_hashmaps,use_initial_solution,RF_n_estimators
synthetic_manifold_df_size_2000_targets_5_seed_0,0,5,5,10,sklearn,sklearn,sklearn,0.510193057,0.0,400,0.011035919,,,,
synthetic_manifold_df_size_2000_targets_5_seed_0,0,5,5,10,mean,optimal,mse,0.51191891,0.003382746,0,1.080428123,True,True,False,
synthetic_manifold_df_size_2000_targets_5_seed_0,0,5,5,10,mean,optimal,mse,0.429748796,-0.157674158,0,15.30843472,True,True,False,20.0
synthetic_manifold_df_size_2000_targets_5_seed_0,0,5,5,10,optimal,optimal,mse,0.500842102,-0.018328268,0,43.8043952,True,True,False,
synthetic_manifold_df_size_2000_targets_5_seed_0,0,5,5,10,optimal,optimal,mse,0.413593609,-0.189339009,0,532.0149968,True,True,False,20.0
synthetic_manifold_df_size_2000_targets_5_seed_0,0,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.500842102,-0.018328268,0,369.9506044,False,False,False,
synthetic_manifold_df_size_2000_targets_5_seed_0,1,5,5,10,sklearn,sklearn,sklearn,0.487387584,0.0,400,0.004015684,,,,
synthetic_manifold_df_size_2000_targets_5_seed_0,1,5,5,10,mean,optimal,mse,0.50231195,0.030621147,0,0.681969643,True,True,False,
synthetic_manifold_df_size_2000_targets_5_seed_0,1,5,5,10,mean,optimal,mse,0.426239042,-0.125461838,0,10.69513154,True,True,False,20.0
synthetic_manifold_df_size_2000_targets_5_seed_0,1,5,5,10,optimal,optimal,mse,0.483520237,-0.007934848,0,30.80722165,True,True,False,
synthetic_manifold_df_size_2000_targets_5_seed_0,1,5,5,10,optimal,optimal,mse,0.415880814,-0.146714385,0,380.7745416,True,True,False,20.0
synthetic_manifold_df_size_2000_targets_5_seed_0,1,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.509166975,0.044685978,0,358.1208465,False,False,False,
synthetic_manifold_df_size_2000_targets_5_seed_0,2,5,5,10,sklearn,sklearn,sklearn,0.46975699,0.0,400,0.0,,,,
synthetic_manifold_df_size_2000_targets_5_seed_0,2,5,5,10,mean,optimal,mse,0.471387654,0.003471291,0,0.733345747,True,True,False,
synthetic_manifold_df_size_2000_targets_5_seed_0,2,5,5,10,mean,optimal,mse,0.418901275,-0.108259624,0,10.67681503,True,True,False,20.0
synthetic_manifold_df_size_2000_targets_5_seed_0,2,5,5,10,optimal,optimal,mse,0.458313533,-0.024360378,0,30.06083727,True,True,False,
synthetic_manifold_df_size_2000_targets_5_seed_0,2,5,5,10,optimal,optimal,mse,0.406110238,-0.135488676,0,368.6246693,True,True,False,20.0
synthetic_manifold_df_size_2000_targets_5_seed_0,2,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.498448558,0.061077468,0,371.0744951,False,False,False,
synthetic_manifold_df_size_2000_targets_5_seed_0,3,5,5,10,sklearn,sklearn,sklearn,0.460324882,0.0,400,0.015649557,,,,
