data,fold,depth,min_samples_leaf,min_samples_split,prediction_method,prediction_method_leaf,evaluation_method,mse,mse gap,nof_infeasibilities,training_duration,use_brute_force,use_hashmaps,use_initial_solution,RF_n_estimators
synthetic_manifold_df_size_500_targets_5_seed_0,0,5,5,10,sklearn,sklearn,sklearn,0.576401377,0.0,100,0.003053665,,,,
synthetic_manifold_df_size_500_targets_5_seed_0,0,5,5,10,mean,optimal,mse,0.563359775,-0.022625903,0,0.388555288,True,True,False,
synthetic_manifold_df_size_500_targets_5_seed_0,0,5,5,10,mean,optimal,mse,0.491080719,-0.148022994,0,5.419226646,True,True,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_0,0,5,5,10,optimal,optimal,mse,0.539015646,-0.064860585,0,9.501764059,True,True,False,
synthetic_manifold_df_size_500_targets_5_seed_0,0,5,5,10,optimal,optimal,mse,0.491344499,-0.147565361,0,120.6116073,True,True,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_0,0,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.543582221,-0.056938024,0,28.95725012,False,False,False,
synthetic_manifold_df_size_500_targets_5_seed_0,0,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.492142314,-0.14618123,0,470.9504657,False,False,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_0,1,5,5,10,sklearn,sklearn,sklearn,0.516855756,0.0,100,0.002700806,,,,
synthetic_manifold_df_size_500_targets_5_seed_0,1,5,5,10,mean,optimal,mse,0.483537852,-0.064462673,0,0.415686369,True,True,False,
synthetic_manifold_df_size_500_targets_5_seed_0,1,5,5,10,mean,optimal,mse,0.414533235,-0.197971137,0,5.579848051,True,True,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_0,1,5,5,10,optimal,optimal,mse,0.488700548,-0.054474015,0,9.635706425,True,True,False,
synthetic_manifold_df_size_500_targets_5_seed_0,1,5,5,10,optimal,optimal,mse,0.413454813,-0.200057642,0,114.9518125,True,True,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_0,1,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.488700548,-0.054474014,0,27.21701741,False,False,False,
synthetic_manifold_df_size_500_targets_5_seed_0,1,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.413445104,-0.200076426,0,498.8136222,False,False,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_0,2,5,5,10,sklearn,sklearn,sklearn,0.643227875,0.0,100,0.004413843,,,,
synthetic_manifold_df_size_500_targets_5_seed_0,2,5,5,10,mean,optimal,mse,0.640717631,-0.003902573,0,0.474565744,True,True,False,
synthetic_manifold_df_size_500_targets_5_seed_0,2,5,5,10,mean,optimal,mse,0.446220239,-0.306279694,0,6.60614419,True,True,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_0,2,5,5,10,optimal,optimal,mse,0.611922764,-0.048668773,0,11.81537127,True,True,False,
synthetic_manifold_df_size_500_targets_5_seed_0,2,5,5,10,optimal,optimal,mse,0.436774316,-0.320964883,0,116.4929626,True,True,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_0,2,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.611922764,-0.048668773,0,36.33111,False,False,False,
synthetic_manifold_df_size_500_targets_5_seed_0,2,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.440116226,-0.315769351,0,497.556402,False,False,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_0,3,5,5,10,sklearn,sklearn,sklearn,0.630604657,0.0,100,0.002992392,,,,
synthetic_manifold_df_size_500_targets_5_seed_0,3,5,5,10,mean,optimal,mse,0.604304112,-0.041706866,0,0.452156544,True,True,False,
synthetic_manifold_df_size_500_targets_5_seed_0,3,5,5,10,mean,optimal,mse,0.505654049,-0.198144125,0,5.53975749,True,True,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_0,3,5,5,10,optimal,optimal,mse,0.553360085,-0.122492865,0,9.679417372,True,True,False,
synthetic_manifold_df_size_500_targets_5_seed_0,3,5,5,10,optimal,optimal,mse,0.499351794,-0.208138112,0,115.5287452,True,True,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_0,3,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.553360085,-0.122492865,0,32.49654436,False,False,False,
synthetic_manifold_df_size_500_targets_5_seed_0,3,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.499879155,-0.207301834,0,531.8723626,False,False,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_0,4,5,5,10,sklearn,sklearn,sklearn,0.490934617,0.0,100,0.008459091,,,,
synthetic_manifold_df_size_500_targets_5_seed_0,4,5,5,10,mean,optimal,mse,0.460314243,-0.062371593,0,0.690784693,True,True,False,
synthetic_manifold_df_size_500_targets_5_seed_0,4,5,5,10,mean,optimal,mse,0.361548701,-0.263550199,0,10.13700342,True,True,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_0,4,5,5,10,optimal,optimal,mse,0.473859456,-0.034780928,0,16.4943161,True,True,False,
synthetic_manifold_df_size_500_targets_5_seed_0,4,5,5,10,optimal,optimal,mse,0.356319656,-0.274201405,0,124.8957264,True,True,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_0,4,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.478563193,-0.02519974,0,36.66793203,False,False,False,
synthetic_manifold_df_size_500_targets_5_seed_0,4,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.355133581,-0.276617358,0,510.2133787,False,False,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_1,0,5,5,10,sklearn,sklearn,sklearn,0.197302583,0.0,100,0.004005671,,,,
synthetic_manifold_df_size_500_targets_5_seed_1,0,5,5,10,mean,optimal,mse,0.478215366,1.423766368,0,0.377969742,True,True,False,
synthetic_manifold_df_size_500_targets_5_seed_1,0,5,5,10,mean,optimal,mse,0.502917086,1.548963511,0,5.439940691,True,True,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_1,0,5,5,10,optimal,optimal,mse,0.500506566,1.536746138,0,9.271968365,True,True,False,
synthetic_manifold_df_size_500_targets_5_seed_1,0,5,5,10,optimal,optimal,mse,0.496754723,1.517730453,0,114.2666936,True,True,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_1,0,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.500506566,1.536746138,0,21.59155369,False,False,False,
synthetic_manifold_df_size_500_targets_5_seed_1,0,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.498377321,1.52595436,0,374.4136543,False,False,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_1,1,5,5,10,sklearn,sklearn,sklearn,0.197216663,0.0,100,0.00374341,,,,
synthetic_manifold_df_size_500_targets_5_seed_1,1,5,5,10,mean,optimal,mse,0.41703674,1.114612092,0,0.409882069,True,True,False,
synthetic_manifold_df_size_500_targets_5_seed_1,1,5,5,10,mean,optimal,mse,0.467044013,1.368177244,0,5.972696543,True,True,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_1,1,5,5,10,optimal,optimal,mse,0.428114489,1.170782541,0,9.599640846,True,True,False,
synthetic_manifold_df_size_500_targets_5_seed_1,1,5,5,10,optimal,optimal,mse,0.467113765,1.368530927,0,114.7277389,True,True,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_1,1,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.428114488,1.17078254,0,21.81906176,False,False,False,
synthetic_manifold_df_size_500_targets_5_seed_1,1,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.466664792,1.366254379,0,422.9975836,False,False,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_1,2,5,5,10,sklearn,sklearn,sklearn,0.189395383,0.0,100,0.0,,,,
synthetic_manifold_df_size_500_targets_5_seed_1,2,5,5,10,mean,optimal,mse,0.42989791,1.26984366,0,0.570084095,True,True,False,
synthetic_manifold_df_size_500_targets_5_seed_1,2,5,5,10,mean,optimal,mse,0.457381308,1.414954891,0,7.705528259,True,True,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_1,2,5,5,10,optimal,optimal,mse,0.430089199,1.270853658,0,10.80311847,True,True,False,
synthetic_manifold_df_size_500_targets_5_seed_1,2,5,5,10,optimal,optimal,mse,0.434489351,1.29408628,0,127.0686023,True,True,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_1,2,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.4300892,1.270853659,0,29.04890895,False,False,False,
synthetic_manifold_df_size_500_targets_5_seed_1,2,5,5,10,sing-depthMIP,sing-depthMIP,mse,0.434772742,1.295582572,0,452.1115012,False,False,False,20.0
synthetic_manifold_df_size_500_targets_5_seed_1,3,5,5,10,sklearn,sklearn,sklearn,0.206578792,0.0,100,0.004010439,,,,
synthetic_manifold_df_size_500_targets_5_seed_1,3,5,5,10,mean,optimal,mse,0.449842842,1.177584827,0,0.419384241,True,True,False,
synthetic_manifold_df_size_500_targets_5_seed_1,3,5,5,10,mean,optimal,mse,0.491958419,1.381456561,0,5.780607224,True,True,False,20.0
